SentSMG,TideSMG,SentJpr,TideJpr,SentPkl,TidePkl
0.022,0,0.017,0,-0.055,0
0.016,-0.012,0.017,0.004,-0.088,0
-0.061,-0.104,-0.047,-0.077,-0.046,0
-0.036,-0.173,0.022,-0.242,-0.058,0
-0.116,-0.182,-0.062,-0.135,-0.05,0
-0.092,-0.273,-0.001,-0.135,0.021,0
-0.159,-0.197,-0.067,-0.143,-0.029,-0.008
-0.142,-0.195,-0.037,-0.148,-0.029,-0.008
-0.155,-0.195,-0.034,-0.148,0.017,-0.008
-0.157,-0.163,-0.05,-0.098,-0.099,0.014
-0.201,-0.246,-0.09,-0.168,-0.027,-0.031
-0.221,-0.229,-0.102,-0.137,-0.056,-0.077
-0.2,-0.22,-0.077,-0.115,-0.06,-0.024
-0.107,-0.244,-0.005,-0.129,-0.049,-0.047
-0.097,-0.329,0.025,-0.157,-0.062,-0.062
-0.097,-0.329,0.025,-0.157,-0.058,-0.121
-0.138,-0.329,0.003,-0.157,-0.057,-0.121
-0.138,-0.264,0.002,-0.087,-0.015,-0.079
-0.195,-0.362,-0.064,-0.177,-0.001,-0.185
-0.193,-0.348,-0.069,-0.155,0.038,-0.155
-0.178,-0.289,-0.056,-0.076,0.026,-0.104
-0.183,-0.297,-0.047,-0.075,0.064,-0.096
-0.301,-0.35,-0.114,-0.083,-0.06,-0.113
-0.262,-0.382,-0.103,-0.078,0,-0.179
-0.278,-0.382,-0.123,-0.078,0.019,-0.179
-0.247,-0.417,-0.087,-0.053,0.026,-0.185
-0.328,-0.527,-0.161,-0.132,-0.017,-0.274
-0.326,-0.494,-0.168,-0.099,0.013,-0.278
-0.324,-0.445,-0.168,-0.033,-0.062,-0.215
-0.352,-0.459,-0.17,-0.026,-0.107,-0.21
-0.378,-0.706,-0.202,-0.003,-0.305,-0.188
-0.401,-0.713,-0.162,-0.005,-0.122,-0.169
-0.392,-0.713,-0.14,-0.005,-0.118,-0.169
-0.425,-0.739,-0.178,0.004,-0.147,-0.19
-0.435,-0.837,-0.18,-0.057,-0.139,-0.32
-0.441,-0.928,-0.163,-0.172,-0.09,-0.358
-0.43,-0.771,-0.157,-0.07,-0.117,-0.331
-0.491,-0.775,-0.175,-0.032,-0.017,-0.32
-0.505,-0.81,-0.19,-0.077,-0.044,-0.336
-0.544,-0.831,-0.189,-0.1,-0.044,-0.312
-0.506,-0.831,-0.157,-0.1,-0.014,-0.312
-0.496,-0.778,-0.133,-0.026,-0.045,-0.264
-0.416,-0.875,-0.04,-0.137,-0.076,-0.365
-0.546,-0.909,-0.191,-0.171,-0.076,-0.386
-0.548,-0.868,-0.204,-0.112,-0.095,-0.349
-0.542,-0.865,-0.226,-0.096,-0.114,-0.35
-0.577,-0.924,-0.238,-0.131,-0.116,-0.439
-0.666,-0.959,-0.317,-0.175,-0.116,-0.439
